,,,,,,,,Mon,,,,,,,,Tue,,,,,,,,Wed,,,,,,,,Thu,,,,,,,,,,Classes Taken
First Name,Last Name,ID,Email,Graduating Quarter,Year,Applying For,In Ellensburg?,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,Experience with Python?,Experience with Visual Basic?,CS 102,CS 105,CS 107,CS 109,CS 110,CS 111,CS 112,CS 301,CS 302,CS 311,CS 312,CS 361,CS 362,CS 380,CS 420,CS 427,CS 430,CS 440,CS 467,CS 470,CS 480
Carol,Collins,53984,Carol.Collins@cwu.edu,Summer,2023,392,Yes,Open,Open,Open,Conflict,Open,Conflict,Open,Conflict,Conflict,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Conflict,Open,Conflict,Conflict,Conflict,Open,Conflict,Open,Open,Open,Conflict,No,Yes,,X,,,,X,,,,X,,,X,,,X,,,,,
Donna,Smith,77365,Donna.Smith@cwu.edu,Fall,2022,392,No,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,No,No,X,,,,,,,,X,X,,,X,,,,,,X,,X
James,Stewart,91522,James.Stewart@cwu.edu,Fall,2024,492,Yes,Open,Conflict,Conflict,Open,Conflict,Conflict,Conflict,Open,Conflict,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Conflict,Conflict,Open,No,No,,,,,,,,X,,X,X,X,X,,,,X,X,X,,
Steven,Cooper,86121,Steven.Cooper@cwu.edu,Fall,2023,492,Yes,Open,Open,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Conflict,Conflict,Open,Conflict,Open,Open,Conflict,No,Yes,X,X,X,X,X,,,,,X,X,X,X,,,,,X,,,X
Frances,Brown,63271,Frances.Brown@cwu.edu,Summer,2024,392,Yes,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,No,Yes,,X,X,,,,,,,X,X,,,,,X,,,X,,X
Christopher,Baker,86135,Christopher.Baker@cwu.edu,Spring,2022,392,No,Conflict,Conflict,Open,Conflict,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Conflict,Conflict,Open,Open,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,No,No,X,,,X,X,,,X,,,,X,X,X,X,X,,X,,X,
Christine,Hill,23517,Christine.Hill@cwu.edu,Summer,2024,392,No,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,No,No,,,X,,,,,,X,X,,,X,X,,,,,,,X
Henry,Evans,50256,Henry.Evans@cwu.edu,Winter,2024,392,Yes,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Yes,No,,,X,X,,,,X,X,X,,X,X,X,,,,,,,X
Ann,Johnson,65586,Ann.Johnson@cwu.edu,Winter,2024,492,Yes,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Open,Open,No,No,,,X,,,,X,,X,X,X,X,,X,,,X,,,X,
Donald,Carter,84163,Donald.Carter@cwu.edu,Spring,2022,492,Yes,Open,Open,Conflict,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Yes,Yes,,,X,,X,,X,,,,,,X,X,,,X,,X,X,
Anna,Morris,24546,Anna.Morris@cwu.edu,Spring,2023,492,Yes,Open,Open,Open,Open,Conflict,Open,Conflict,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Conflict,Conflict,Open,Open,Open,No,No,X,,,,,,,,,,,X,,,X,X,X,X,,,
Kenneth,Brown,31088,Kenneth.Brown@cwu.edu,Winter,2022,492,No,Conflict,Open,Open,Open,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,No,No,,,X,,X,,,X,X,X,,,,,,X,,,,,X
Barbara,Lee,39883,Barbara.Lee@cwu.edu,Spring,2024,392,Yes,Conflict,Conflict,Open,Open,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Conflict,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Open,Open,Open,Conflict,Open,No,Yes,X,,,,,,,,X,X,,,X,X,,,X,X,,X,
Patrick,Washington,68316,Patrick.Washington@cwu.edu,Winter,2023,492,No,Open,Conflict,Conflict,Conflict,Conflict,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,No,No,X,,X,,X,,,X,,X,X,,,,,X,X,,,X,
Betty,James,88883,Betty.James@cwu.edu,Summer,2023,392,Yes,Conflict,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Conflict,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Conflict,Open,Open,Open,Conflict,Conflict,Conflict,No,No,,,X,X,,X,,,,X,X,X,X,X,,,X,X,,,
Walter,Turner,38849,Walter.Turner@cwu.edu,Fall,2024,492,No,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Conflict,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Yes,No,,,X,,,,,X,X,,,X,X,,,X,X,X,X,X,
Elizabeth,Edwards,79777,Elizabeth.Edwards@cwu.edu,Summer,2023,392,No,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Conflict,Open,Conflict,Open,Open,Yes,No,,,X,,,,,X,,,,X,X,,X,,,,X,,
Sharon,Roberts,82374,Sharon.Roberts@cwu.edu,Summer,2023,392,Yes,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Conflict,Open,Open,Conflict,Conflict,Open,No,Yes,,,,,,X,X,X,X,,,X,,,X,,,,X,,
Christine,Jones,82534,Christine.Jones@cwu.edu,Summer,2024,492,No,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Conflict,Open,Conflict,Conflict,Open,No,No,,X,X,,,,,X,,X,,,X,X,X,X,,,,X,
Anna,White,85372,Anna.White@cwu.edu,Summer,2023,492,No,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Conflict,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,No,No,X,,X,,,X,,,,,,,,,X,,,,X,,
Jason,Taylor,34882,Jason.Taylor@cwu.edu,Summer,2023,392,Yes,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Open,Conflict,Yes,No,,,,,X,X,X,X,,X,,,X,,,,,,X,,
Scott,Wright,83222,Scott.Wright@cwu.edu,Winter,2023,492,No,Open,Conflict,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,Open,Conflict,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Conflict,No,No,X,,,X,,,,,X,X,,,X,,,X,X,,X,,
Carolyn,Washington,19024,Carolyn.Washington@cwu.edu,Spring,2023,492,Yes,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,No,No,,,X,,,,,,X,X,,X,,,,,,X,,,X
Frances,Davis,76517,Frances.Davis@cwu.edu,Winter,2024,392,Yes,Conflict,Conflict,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,No,No,,,,,,,X,,X,X,,,,X,X,,,,X,X,X
Jeffrey,Miller,95311,Jeffrey.Miller@cwu.edu,Spring,2022,492,Yes,Open,Conflict,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Open,Open,Open,Conflict,Open,Open,No,No,X,,,,,,X,X,,X,,,X,X,,X,,,X,,
Joseph,Wright,56859,Joseph.Wright@cwu.edu,Fall,2022,492,No,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,No,Yes,X,,,X,,X,X,,X,,X,,,X,,,X,,,,
Amanda,Davis,86635,Amanda.Davis@cwu.edu,Fall,2024,392,Yes,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,Open,No,No,X,,X,,,,,,,X,X,X,,,,,X,,X,,X
Shirley,Carter,88218,Shirley.Carter@cwu.edu,Summer,2022,392,No,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Conflict,Conflict,Conflict,Open,Open,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,No,Yes,X,,,X,,,,X,,,X,,,X,,X,X,X,,,
Douglas,Nguyen,85587,Douglas.Nguyen@cwu.edu,Spring,2023,492,No,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,No,Yes,X,,X,X,,,,X,,,X,,,,,,,,,,X
Richard,Hall,24926,Richard.Hall@cwu.edu,Spring,2024,392,Yes,Conflict,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Conflict,Open,Conflict,Open,No,No,X,,,,X,,X,,,,,,,,,,,,,,
Michelle,Hill,88734,Michelle.Hill@cwu.edu,Fall,2024,492,No,Conflict,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Conflict,Open,No,No,,,X,X,X,,X,X,X,,,,X,,,X,X,,,,X
Ruth,Turner,18193,Ruth.Turner@cwu.edu,Fall,2023,392,Yes,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Conflict,Conflict,Open,Conflict,No,No,X,,X,,,,X,,X,,X,X,,X,X,,,,X,,
Joyce,Johnson,19947,Joyce.Johnson@cwu.edu,Spring,2024,392,No,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Conflict,Open,Open,Yes,No,X,,,,,X,X,,,X,,,,,X,X,,,,X,
Harold,Jones,20502,Harold.Jones@cwu.edu,Fall,2024,392,No,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Conflict,Open,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,No,No,X,,,,,X,,X,,,,X,,X,,X,X,,,,X
Raymond,Anderson,30751,Raymond.Anderson@cwu.edu,Winter,2024,492,No,Conflict,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,No,No,X,,X,X,,,,,X,,X,,,X,,,X,,,X,X
Ryan,Miller,28244,Ryan.Miller@cwu.edu,Winter,2022,392,No,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,No,No,,X,,,,X,X,X,,,,X,,,,X,,,,,
Diane,Taylor,91608,Diane.Taylor@cwu.edu,Spring,2023,492,Yes,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,No,No,X,X,,X,,X,,X,X,X,X,X,,,X,X,,,,,X
Ruth,Thompson,36707,Ruth.Thompson@cwu.edu,Spring,2024,392,Yes,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Conflict,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Yes,No,,X,X,X,,,X,,,X,,,,,X,X,,,X,X,X
Walter,Nelson,99412,Walter.Nelson@cwu.edu,Summer,2024,392,Yes,Conflict,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Conflict,Conflict,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Yes,No,X,,,,,X,,,,,,X,X,X,,,,X,X,,
Patricia,Scott,29581,Patricia.Scott@cwu.edu,Spring,2022,492,No,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,Conflict,Open,Open,Conflict,Conflict,Open,Conflict,Conflict,Open,Open,Conflict,Open,Open,No,No,X,,X,X,,,,,,,X,X,,,X,,,X,X,X,
